Leaf,N. photos,Notes,Width,Length,Perimeter,Weight,Area,,Dataset size:
1,10,wavy surface; eating holes in the center; with water drops; under shade,5.4,6.0,21.5,0.179,23.86666667,,7487
2,13,wavy surface; no eating holes; with water drops; under shade,5.3,7.0,23.0,0.185,24.66666667,,
3,11,flat surface; no eating holes; with water drops; under shade,5.5,6.0,22.0,0.170,22.66666667,,Marker side:
4,14,flat surface; no eating holes; under shade,5.2,6.7,23.0,0.186,24.8,,5 cm
5,10,flat surface; no eating holes; with water drops; under shade,6.4,8.5,29.5,0.269,35.86666667,,
6,12,flat surface; no eating holes; with water drops; under shade,6.5,8.6,29.0,0.279,37.2,,Paper density:
7,9,flat surface; no eating holes; with water drops; with soild dust; under shade,5.2,6.4,22.0,0.163,21.73333333,,75 g/m²
8,10,flat surface; no eating holes; under shade,5.0,5.9,20.5,0.148,19.73333333,,
9,10,flat surface; no eating holes; under shade,6.2,9.2,30.5,0.296,39.46666667,,
10,10,flat surface; no eating holes; under shade,5.9,8.8,29.0,0.254,33.86666667,,
11,10,wavy surface; no eating holes; under shade,6.0,8.7,27.0,0.254,33.86666667,,
12,13,flat surface; no eating holes; under shade,6.0,6.5,24.5,0.211,28.13333333,,
13,12,wavy surface; no eating holes; under shade,6.0,7.6,26.5,0.233,31.06666667,,
14,11,wavy surface; no eating holes; under shade,6.7,7.4,25.5,0.248,33.06666667,,
15,10,wavy surface; no eating holes; under sunlight,5.1,6.0,21.5,0.170,22.66666667,,
16,12,flat surface; eating holes in the center; under sunlight,5.2,6.4,22.0,0.177,23.6,,
17,11,flat surface; no eating holes; under sunlight,4.5,6.5,20.5,0.132,17.6,,
18,12,wavy surface; no eating holes; under sunlight,4.8,7.0,21.5,0.156,20.8,,
19,11,wavy surface; no eating holes; under sunlight,5.3,7.5,24.0,0.192,25.6,,
20,12,wavy surface; no eating holes; under sunlight,5.8,8.0,26.5,0.226,30.13333333,,
21,13,flat surface; no eating holes; under sunlight,4.3,5.9,19.0,0.124,16.53333333,,
22,12,wavy surface; no eating holes; under sunlight,4.6,6.3,21.0,0.146,19.46666667,,
23,11,wavy surface; eating holes in the center; with soild dust; under sunlight,4.5,6.0,20.0,0.140,18.66666667,,
24,13,flat surface; no eating holes; with soild dust; under sunlight,4.8,6.3,20.5,0.148,19.73333333,,
